TargetName	Module	CodeClass	GeneID	SystematicName	Negative	DetectedSegments	DetectionRate
PEX6	Hs_R_NGS_WTA_v1.0	Endogenous	5190	PEX6	FALSE	35	0.17412935323383086
PEX7	Hs_R_NGS_WTA_v1.0	Endogenous	5191	PEX7	FALSE	34	0.1691542288557214
PFKM	Hs_R_NGS_WTA_v1.0	Endogenous	5213	PFKM	FALSE	74	0.3681592039800995
PGK1	Hs_R_NGS_WTA_v1.0	Endogenous	5230	PGK1	FALSE	201	1
PHKB	Hs_R_NGS_WTA_v1.0	Endogenous	5257	PHKB	FALSE	114	0.5671641791044776
PHKG2	Hs_R_NGS_WTA_v1.0	Endogenous	5261	PHKG2	FALSE	72	0.3582089552238806
SERPINA1	Hs_R_NGS_WTA_v1.0	Endogenous	5265	SERPINA1	FALSE	191	0.9502487562189055
PKD2	Hs_R_NGS_WTA_v1.0	Endogenous	5311	PKD2	FALSE	154	0.7661691542288557
PLA2G2A	Hs_R_NGS_WTA_v1.0	Endogenous	5320	PLA2G2A	FALSE	37	0.18407960199004975
PLOD1	Hs_R_NGS_WTA_v1.0	Endogenous	5351	PLOD1	FALSE	198	0.9850746268656716
PMM2	Hs_R_NGS_WTA_v1.0	Endogenous	5373	PMM2	FALSE	54	0.26865671641791045
PMP22	Hs_R_NGS_WTA_v1.0	Endogenous	5376	PMP22	FALSE	83	0.4129353233830846
PON2	Hs_R_NGS_WTA_v1.0	Endogenous	5445	PON2	FALSE	166	0.8258706467661692
PRNP	Hs_R_NGS_WTA_v1.0	Endogenous	5621	PRNP	FALSE	156	0.7761194029850746
PROS1	Hs_R_NGS_WTA_v1.0	Endogenous	5627	PROS1	FALSE	160	0.7960199004975125
PTH1R	Hs_R_NGS_WTA_v1.0	Endogenous	5745	PTH1R	FALSE	194	0.9651741293532339
PTS	Hs_R_NGS_WTA_v1.0	Endogenous	5805	PTS	FALSE	58	0.2885572139303483
PEX2	Hs_R_NGS_WTA_v1.0	Endogenous	5828	PEX2	FALSE	34	0.1691542288557214
